metric,value,dataset
roc_pct,6.7489676644913095,expJ_episodios_cortos_replacebg_smote_temp
n_rows,5950502.0,expJ_episodios_cortos_replacebg_adasyn
n_patients,60.0,expJ_episodios_cortos_replacebg_adasyn
pct_hypo,11.535295677574766,expJ_episodios_cortos_replacebg_adasyn
pct_normo,71.55717282340213,expJ_episodios_cortos_replacebg_adasyn
pct_hyper,16.907531499023108,expJ_episodios_cortos_replacebg_adasyn
autocorr_lag1,0.9600640328959834,expJ_episodios_cortos_replacebg_adasyn
roc_violations,413285.0,expJ_episodios_cortos_replacebg_adasyn
roc_pct,6.981322384438704,expJ_episodios_cortos_replacebg_adasyn
n_rows,2698262.0,expJ_episodios_cortos_replacebg_episode_aware
n_patients,60.0,expJ_episodios_cortos_replacebg_episode_aware
pct_hypo,1.752313155653528,expJ_episodios_cortos_replacebg_episode_aware
pct_normo,64.48669550992454,expJ_episodios_cortos_replacebg_episode_aware
pct_hyper,33.76099133442194,expJ_episodios_cortos_replacebg_episode_aware
autocorr_lag1,0.9933482647292233,expJ_episodios_cortos_replacebg_episode_aware
roc_violations,59370.0,expJ_episodios_cortos_replacebg_episode_aware
roc_pct,2.2255735153377887,expJ_episodios_cortos_replacebg_episode_aware
n_rows,2707271.0,expJ_episodios_cortos_replacebg_patient_level
n_patients,60.0,expJ_episodios_cortos_replacebg_patient_level
pct_hypo,1.7556794277336845,expJ_episodios_cortos_replacebg_patient_level
pct_normo,64.54355696197388,expJ_episodios_cortos_replacebg_patient_level
pct_hyper,33.700763610292434,expJ_episodios_cortos_replacebg_patient_level
autocorr_lag1,0.9932749034518615,expJ_episodios_cortos_replacebg_patient_level
roc_violations,59606.0,expJ_episodios_cortos_replacebg_patient_level
roc_pct,2.2268997353394338,expJ_episodios_cortos_replacebg_patient_level
n_rows,2698262.0,expJ_episodios_cortos_replacebg_smogn_like
n_patients,60.0,expJ_episodios_cortos_replacebg_smogn_like
pct_hypo,1.752313155653528,expJ_episodios_cortos_replacebg_smogn_like
pct_normo,64.48669550992454,expJ_episodios_cortos_replacebg_smogn_like
pct_hyper,33.76099133442194,expJ_episodios_cortos_replacebg_smogn_like
autocorr_lag1,0.9933482647292233,expJ_episodios_cortos_replacebg_smogn_like
roc_violations,59370.0,expJ_episodios_cortos_replacebg_smogn_like
roc_pct,2.2255735153377887,expJ_episodios_cortos_replacebg_smogn_like
