dataset,condition,dimension,technique,is_original,fold,range,metric,value
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_1,B,31.39
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_1,C,0.11
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_1,D,2.72
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_1,E,0.01
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_1,A + B,97.16
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_1,RMSE,45.46
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_1,MSE,2066.19
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_1,MAE,36.16
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_1,MAPE,0.17
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_2,A,52.86
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_2,B,37.16
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_2,C,0.0
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_2,D,9.98
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_2,E,0.0
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_2,A + B,90.02
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_2,RMSE,75.18
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_2,MSE,5651.65
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_2,MAE,64.02
DIATREND,balanced_age_jittering,age,jittering,False,4,TAR_2,MAPE,0.21
DIATREND,balanced_age_jittering,age,jittering,False,4,ENTIRE,A,61.91
DIATREND,balanced_age_jittering,age,jittering,False,4,ENTIRE,B,32.86
DIATREND,balanced_age_jittering,age,jittering,False,4,ENTIRE,C,0.27
DIATREND,balanced_age_jittering,age,jittering,False,4,ENTIRE,D,4.92
DIATREND,balanced_age_jittering,age,jittering,False,4,ENTIRE,E,0.04
DIATREND,balanced_age_jittering,age,jittering,False,4,ENTIRE,A + B,94.77
DIATREND,balanced_age_jittering,age,jittering,False,4,ENTIRE,RMSE,47.56
DIATREND,balanced_age_jittering,age,jittering,False,4,ENTIRE,MSE,2262.43
DIATREND,balanced_age_jittering,age,jittering,False,4,ENTIRE,MAE,35.6
DIATREND,balanced_age_jittering,age,jittering,False,4,ENTIRE,MAPE,0.2
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_2,A,11.1
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_2,B,0.0
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_2,C,0.0
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_2,D,87.77
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_2,E,1.13
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_2,A + B,11.1
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_2,RMSE,63.67
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_2,MSE,4053.82
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_2,MAE,58.63
DIATREND,balanced_age_jittering,age,jittering,False,5,TBR_2,MAPE,1.3
