dataset,condition,dimension,technique,range,metric,mean_original,mean_balanced,cohens_d,effect_size
DIATREND,balanced_age_smote_tomek,age,smote_tomek,TIR,MAE,22.668,21.906,1.0893,large
DIATREND,balanced_age_tomek_links,age,tomek_links,TIR,MAE,22.668,22.486,0.254,small
DIATREND,balanced_age_undersampling,age,undersampling,TIR,MAE,22.668,22.732,-0.0776,negligible
DIATREND,balanced_age_undersampling_oversampling,age,undersampling_oversampling,TIR,MAE,22.668,21.91,1.0119,large
DIATREND,balanced_age_undersampling_smote,age,undersampling_smote,TIR,MAE,22.668,21.928,1.1571,large
DIATREND,balanced_sex_jittering,sex,jittering,TIR,MAE,22.668,22.226,0.6055,medium
DIATREND,balanced_sex_oversampling,sex,oversampling,TIR,MAE,22.668,22.322,0.501,medium
DIATREND,balanced_sex_oversampling_tomek,sex,oversampling_tomek,TIR,MAE,22.668,22.332,0.4517,small
DIATREND,balanced_sex_patient_aware_undersampling,sex,patient_aware_undersampling,TIR,MAE,22.668,22.306,0.4879,small
DIATREND,balanced_sex_smote,sex,smote,TIR,MAE,22.668,22.292,0.6004,medium
DIATREND,balanced_sex_smote_tomek,sex,smote_tomek,TIR,MAE,22.668,22.38,0.3785,small
DIATREND,balanced_sex_tomek_links,sex,tomek_links,TIR,MAE,22.668,22.372,0.4267,small
DIATREND,balanced_sex_undersampling,sex,undersampling,TIR,MAE,22.668,22.332,0.4767,small
DIATREND,balanced_sex_undersampling_oversampling,sex,undersampling_oversampling,TIR,MAE,22.668,22.352,0.4457,small
DIATREND,balanced_sex_undersampling_smote,sex,undersampling_smote,TIR,MAE,22.668,22.296,0.4738,small
DIATREND,balanced_age_jittering,age,jittering,TAR_1,RMSE,42.08,44.392,-2.0365,large
DIATREND,balanced_age_oversampling,age,oversampling,TAR_1,RMSE,42.08,44.708,-2.2281,large
DIATREND,balanced_age_oversampling_tomek,age,oversampling_tomek,TAR_1,RMSE,42.08,43.864,-1.5338,large
DIATREND,balanced_age_patient_aware_undersampling,age,patient_aware_undersampling,TAR_1,RMSE,42.08,43.256,-0.9953,large
DIATREND,balanced_age_smote,age,smote,TAR_1,RMSE,42.08,44.456,-1.8258,large
