dataset,condition,dimension,technique,is_original,family_size,family_mechanism,range,metric,mean,std,baseline_mean,delta_abs,delta_pct,improvement_pct
DIATREND,balanced_age_jittering,age,jittering,False,oversampling,guided,ENTIRE,MAPE,0.2,0.01,0.2,0.0,0.0,-0.0
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_2,A,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_2,B,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_2,C,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_2,D,97.49,1.65,96.53,0.9599999999999937,0.9945094789184644,-0.9945094789184644
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_2,E,2.51,1.65,3.47,-0.9600000000000004,-27.665706051873208,27.665706051873208
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_2,A + B,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_2,RMSE,73.23,7.0,75.28,-2.049999999999997,-2.7231668437832055,2.7231668437832055
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_2,MSE,5401.55,1028.63,5710.57,-309.0199999999995,-5.411368742524818,5.411368742524818
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_2,MAE,69.6,6.44,71.22,-1.6200000000000045,-2.2746419545071674,2.2746419545071674
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_2,MAPE,1.54,0.13,1.57,-0.030000000000000027,-1.9108280254777086,1.9108280254777086
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_1,A,0.07,0.09,0.01,0.060000000000000005,600.0,600.0
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_1,B,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_1,C,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_1,D,97.65,1.14,97.11,0.5400000000000063,0.5560704355885143,-0.5560704355885143
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_1,E,2.28,1.15,2.88,-0.6000000000000001,-20.833333333333336,20.833333333333336
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_1,A + B,0.07,0.09,0.01,0.060000000000000005,600.0,600.0
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_1,RMSE,57.58,4.29,59.82,-2.240000000000002,-3.7445670344366464,3.7445670344366464
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_1,MSE,3330.03,497.96,3591.41,-261.37999999999965,-7.277921484876404,7.277921484876404
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_1,MAE,53.26,3.43,55.15,-1.8900000000000006,-3.4270172257479614,3.4270172257479614
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TBR_1,MAPE,0.85,0.05,0.88,-0.030000000000000027,-3.4090909090909123,3.4090909090909123
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TIR,A,68.11,2.01,66.2,1.9099999999999966,2.885196374622351,2.885196374622351
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TIR,B,31.36,1.94,33.14,-1.7800000000000011,-5.371152685576346,
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TIR,C,0.53,0.19,0.66,-0.13,-19.696969696969695,19.696969696969695
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TIR,D,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TIR,E,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TIR,A + B,99.47,0.19,99.34,0.12999999999999545,0.13086370042278583,0.13086370042278583
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TIR,RMSE,29.36,1.06,30.72,-1.3599999999999994,-4.427083333333331,4.427083333333331
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TIR,MSE,862.82,62.16,944.97,-82.14999999999998,-8.69339767400023,8.69339767400023
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TIR,MAE,21.73,0.59,22.67,-0.9400000000000013,-4.1464490516100625,4.1464490516100625
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TIR,MAPE,0.18,0.01,0.19,-0.010000000000000009,-5.263157894736847,5.263157894736847
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_1,A,67.03,1.76,70.98,-3.950000000000003,-5.564947872640184,-5.564947872640184
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_1,B,30.33,1.6,26.82,3.509999999999998,13.087248322147643,
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_1,C,0.16,0.1,0.1,0.06,60.0,-60.0
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_1,D,2.48,0.22,2.11,0.3700000000000001,17.535545023696688,-17.535545023696688
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_1,E,0.0,0.0,0.0,0.0,,
DIATREND,balanced_age_oversampling,age,oversampling,False,oversampling,random,TAR_1,A + B,97.36,0.23,97.79,-0.4300000000000068,-0.4397177625524152,-0.4397177625524152
